,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
331,1,0,4.1,364,4,20,1562,550.0,4701
332,1,0,3.8,286,4,20,1152,600.0,3530
333,1,0,3.8,527,4,20,1152,500.0,406
334,1,0,3.9,101,4,62,1543,150.0,3856
335,1,0,4.1,558,4,62,1543,150.0,5004
336,0,0,3.8,148,4,22,1190,550.0,5004
337,0,0,2.7,377,4,57,1288,1100.0,5004
338,0,0,3.9,206,4,62,1581,450.0,5004
339,0,0,3.9,100,4,62,1585,300.0,5004
340,1,0,4.2,444,4,62,1543,100.0,3859
341,0,0,3.9,133,4,20,975,650.0,5004
342,1,0,4.0,219,4,13,453,600.0,4769
343,0,0,4.2,253,4,62,1543,250.0,5004
344,0,0,3.7,61,4,20,308,600.0,5004
345,1,0,3.8,155,54,20,1571,400.0,4145
346,1,0,3.9,233,30,20,1003,800.0,872
347,1,0,3.7,264,54,20,1208,750.0,3503
348,0,0,4.1,238,4,62,1543,600.0,5004
349,1,0,4.1,176,4,20,67,800.0,3276
350,1,0,3.7,93,4,62,1624,200.0,1717
351,0,0,3.8,124,4,62,1570,300.0,5004
352,1,0,4.3,275,4,62,1543,100.0,5004
353,0,0,4.2,254,4,62,1543,150.0,5004
354,0,0,4.1,177,4,62,1543,100.0,5004
355,1,0,4.0,132,4,62,815,200.0,5004
356,1,0,3.8,74,4,62,1585,300.0,4369
357,1,0,3.6,172,79,20,1192,700.0,5004
358,1,0,3.9,543,4,62,1567,300.0,5004
359,0,0,4.0,52,4,62,1543,300.0,5004
360,0,0,3.7,217,4,20,1277,450.0,5004
361,0,0,3.9,111,4,20,1254,700.0,5004
362,1,0,3.8,133,4,62,1632,200.0,4500
363,0,0,3.8,39,30,62,1583,250.0,5004
364,0,0,4.0,64,4,62,1543,200.0,5004
365,0,0,3.8,148,4,62,871,150.0,5004
366,0,0,3.8,55,75,44,593,300.0,5004
367,0,1,3.8,977,1,46,876,1300.0,5004
368,0,0,4.1,868,1,57,702,1200.0,5004
369,0,0,3.3,62,1,4,1585,800.0,5004
370,0,0,3.0,98,1,4,1192,800.0,5004
371,0,0,2.7,377,4,57,1288,1100.0,5004
372,1,1,4.4,2487,3,57,1339,900.0,5004
373,1,1,4.2,1964,3,20,86,1000.0,451
374,1,0,4.3,3178,3,20,1398,750.0,2867
375,1,0,3.3,455,3,20,49,550.0,2387
376,0,1,4.7,3845,28,20,1321,1600.0,5004
377,0,0,4.3,353,28,20,1412,1200.0,5004
378,0,1,4.1,1234,28,20,1419,800.0,5004
379,1,1,4.1,1538,28,20,163,1000.0,1364
380,1,1,3.8,756,28,20,1152,1000.0,5004
381,1,1,4.0,347,28,20,1291,1000.0,5004
382,0,1,4.0,165,28,20,1588,1000.0,5004
383,0,0,3.3,177,28,20,1218,950.0,5004
384,1,0,3.0,102,0,20,1585,600.0,2774
385,0,1,4.0,200,3,13,381,700.0,5004
386,1,0,3.9,102,3,13,350,450.0,4821
387,1,0,3.7,171,3,13,330,300.0,1163
388,1,0,3.7,37,3,13,357,400.0,2903
389,1,0,3.9,40,3,41,440,400.0,610
390,0,0,3.9,125,3,13,444,500.0,5004
391,1,0,3.9,49,3,13,330,600.0,1760
392,0,0,3.8,69,3,14,348,700.0,5004
393,0,0,3.9,78,3,13,330,350.0,5004
394,1,0,2.7,48,3,65,547,650.0,3372
395,1,0,4.1,46,28,13,500,600.0,4531
396,0,0,4.0,129,28,13,381,600.0,5004
397,1,1,3.9,727,28,13,414,800.0,386
398,0,0,4.1,521,28,13,402,550.0,5004
399,1,0,4.1,203,28,65,364,650.0,304
400,1,1,4.4,4381,28,22,1464,600.0,2223
401,1,0,3.7,131,28,13,502,400.0,2710
402,1,0,3.7,46,28,13,316,450.0,4842
403,0,0,3.4,48,28,13,434,550.0,5004
404,1,0,3.7,127,28,13,465,700.0,501
405,1,0,2.7,85,28,13,494,500.0,3062
406,1,0,3.7,335,0,20,64,800.0,5004
407,1,0,3.8,254,0,20,280,800.0,2435
408,1,0,4.1,63,28,72,867,300.0,2193
409,1,0,4.0,244,0,62,200,400.0,5004
410,1,0,2.9,255,0,62,1152,250.0,5004
411,1,0,4.5,549,0,30,771,400.0,5004
412,1,0,4.1,775,0,62,1593,300.0,5004
413,1,0,3.6,208,28,72,283,300.0,4823
414,1,0,4.1,739,28,29,563,500.0,4622
415,1,0,3.8,310,3,62,1152,400.0,1102
416,1,0,4.0,126,0,62,1152,150.0,1901
417,1,0,4.1,427,3,72,1388,500.0,1873
418,1,0,4.0,197,0,62,1152,300.0,5004
419,1,0,4.1,601,0,62,1473,700.0,4767
420,1,0,3.9,488,28,72,271,400.0,1130
421,1,0,4.0,396,3,62,1585,400.0,5004
422,1,0,3.6,474,0,62,1231,450.0,5004
423,1,0,2.9,172,0,62,1192,300.0,3171
424,1,0,3.1,175,3,62,41,250.0,5004
425,1,0,4.0,939,0,20,556,600.0,5004
426,1,0,3.9,173,0,62,1457,250.0,4858
